country,wave,EV_voice,PerSti,CWI,PerDem,PerFai,FinSat,PerHea,Happiness,
Argentina,1989-1993,0.4760075277497491,,0.23089708651556237,,,0.4787282190540853,0.6667505030181087,0.6853853955375263,
Argentina,1994-1999,0.5446568126747452,,0.23089708651556237,,,0.4402868724664796,0.6789719626168225,0.6960205992509367,
Argentina,1999-2004,0.5089974681528671,,0.23089708651556237,,,0.498812351543944,0.7074175824175825,0.7030314960629903,
Argentina,2005-2007,0.4379246358974372,0.3974322260404738,0.23089708651556237,0.6635514018691605,0.43888297242929897,0.6067251461988311,0.7717282717282717,0.718417338709677,
Bulgaria,1989-1993,0.3896966191446034,,0.4211268664788285,,,0.36401084010840085,0.6285644051130777,0.43896157840083194,
Bulgaria,1994-1999,0.24880668560606078,,0.4211268664788285,,,0.29371069182390025,0.6407563025210085,0.520856592877771,
Bulgaria,1999-2004,0.28795776560788866,,0.4211268664788285,,,,,0.47627811860941,
Bulgaria,2005-2007,0.25839229968782546,0.48581278175550263,0.4211268664788285,0.3695576454197148,0.4001377410468325,0.3323191345503721,0.6345190380761523,0.5267625899280606,
Chile,1989-1993,0.4737838888888892,,0.22195556884476006,,,0.5453934095494297,0.6541806020066889,0.6744481830417227,
Chile,1994-1999,0.4899516867469896,,0.22195556884476006,,,0.5452118785452121,0.6741741741741741,0.686616465863454,
Chile,1999-2004,0.45943028619528725,,0.22195556884476006,,,0.5160390516039061,0.7093411175979983,0.7161777032690684,
Chile,2005-2007,0.4557537854251028,0.3943585970076044,0.22195556884476006,0.6640129225799022,0.443074112138861,0.5330647868412228,0.70375,0.707575150300602,
China,1989-1993,0.15557447580645206,,0.2215723997456973,,,0.5687193217313702,0.7048192771084337,0.6448509763617698,
China,1994-1999,0.1302172532781228,,0.2215723997456973,,,0.5682901400059592,0.742,0.6795439302481521,
China,1999-2004,0.1766845982142862,,0.2215723997456973,,,0.5162806310842567,0.6963927855711423,0.6177510040160672,
China,2005-2007,0.211238160493828,0.40056458897922237,0.2215723997456973,0.6375352703424106,0.7111751520973492,0.5485224887981414,0.6944582504970179,0.6419990004997544,
Czech R.,1989-1993,0.3196054851104711,,0.4893686702951538,,,0.47876672484002336,0.6213638531235097,0.6082301740812429,
Czech R.,1994-1999,0.3831686524822717,,0.4893686702951538,,,0.4559757646828891,0.6349344978165938,0.6292070484581499,
Czech R.,1999-2004,0.3958441092896182,,0.4893686702951538,,,,,0.6433473684210572,
Czech R.,2005-2007,,,,,,,,,
Finland,1989-1993,0.6375060363636363,,0.5535128840104149,,,0.6217985750048138,0.7573275862068966,0.690510563380286,
Finland,1994-1999,0.6144936645962746,,0.5535128840104149,,,0.627298364354204,0.7357288481141692,0.7124923076923078,
Finland,1999-2004,0.39868492929293403,,0.5535128840104149,,,,,0.7081976744186043,
Finland,2005-2007,0.5732973956262428,0.6005034160373954,0.5535128840104149,0.7110219547531528,0.6258525852585278,0.6710497479728283,0.7071005917159763,0.72873642645607,
Germ. (E.),1989-1993,0.466099204204205,,0.5186406047986537,,,0.5490838796436371,0.6343396226415094,0.6486959999999987,
Germ. (E.),1994-1999,0.4753554336989032,,0.5186406047986537,,,0.5291845967119061,0.6560019841269841,0.6302000000000034,
Germ. (E.),1999-2004,0.38236293691830797,,0.5186406047986537,,,,,0.6393156281920342,
Germ. (E.),2005-2007,0.5295723568075132,0.5036473200126863,0.5186406047986537,0.5337320323156016,0.45038565770273226,0.5057794439237742,0.6749767008387698,0.632079395085068,
Germ. (W.),1989-1993,0.5279480563654034,,0.60435,,,0.6375903614457901,0.6431992337164751,0.6730907227063118,
Germ. (W.),1994-1999,0.6071112648221348,,0.60435,,,0.6237373737373756,0.672566371681416,0.6709680638722564,
Germ. (W.),1999-2004,0.42471223223223403,,0.60435,,,,,0.6644094488188983,
Germ. (W.),2005-2007,0.5073966355140199,0.5314715785304026,0.60435,0.6896433470507576,0.5569444444444457,0.5964187327823699,0.7362104187946884,0.6768544102019153,
Hungary,1989-1993,0.3342289834024907,,0.5039477485891051,,,0.46532663316582995,0.5055110220440882,0.5673816717019171,
Hungary,1994-1999,0.22551302469135856,,0.5039477485891051,,,0.43597719025401876,0.6026923076923076,0.6218506998444832,
Hungary,1999-2004,0.291239449735452,,0.5039477485891051,,,,,0.610151362260346,
Hungary,2005-2007,,,,,,,,,
India,1989-1993,0.2702437563884153,,0.11008306301706786,,,0.5951448002522226,0.6835030549898167,0.6382643631980821,
India,1994-1999,0.22351162059620794,,0.11008306301706786,,,0.5714791224345388,0.666255550074001,0.6776417910447822,
India,1999-2004,0.22965765870704913,,0.11008306301706786,,,0.4401840490797531,0.6812688821752266,0.6471493902439024,
India,2005-2007,0.27294156438026707,0.34310842876302594,0.11008306301706786,0.6143702704727703,0.34624413145539906,0.4810277352390648,0.7095643465197796,0.6690225563909835,
Japan,1989-1993,0.4310963678696174,,0.44546506881472386,,,0.558733521657251,0.6100802407221665,0.6621518987341807,
Japan,1994-1999,0.44262680327868975,,0.44546506881472386,,,0.5924470639598346,0.6490476190476191,0.7385755534167455,
Japan,1999-2004,0.48621670866141886,,0.44546506881472386,,,0.5749405233941324,0.6541759880686056,0.7195685087055228,
Japan,2005-2007,0.43377281342546986,0.5153987680985508,0.44546506881472386,0.6508572700957479,0.49972740159197515,0.5732625055334222,0.6472886029411765,0.7214258911819882,
Latvia,1989-1993,0.32672332179930835,,0.3777865322878692,,,0.35711545838128206,0.563599062133646,0.5018328840970369,
